maroon	#800000	(128,0,0)
ivory	#FFFFF0	(255,255,240)
azure	#F0FFFF	(240,255,255)
snow	#FFFAFA	(255,250,250)
black	#000000	(0,0,0)
dimGray	#696969	(105,105,105)
gray 	#808080	(128,128,128)
darkGray	#A9A9A9	(169,169,169)
silver	#C0C0C0	(192,192,192)
lightGray	#D3D3D3	(211,211,211)
gainsboro	#DCDCDC	(220,220,220)
whiteSmoke	#F5F5F5	(245,245,245)
white	#FFFFFF	(255,255,255)
